CD41_APCH7,PLVAP_APC,MICB_PE,Zombie,CD42_BV605,PVR_PECy7,Colony
734,54,878,298,2542,1616,0
405,104,263,489,12380,208,0
1096,172,423,346,1715,1944,0
2222,867,324,889,22465,253,0
758,276,213,475,13060,279,0
620,44,86,509,1526,57,0
241,34,311,149,69,528,0
1226,686,197,611,17816,439,0
1314,413,597,435,7643,1018,0
1781,307,1146,443,7006,2381,0
1387,200,642,303,4179,1056,0
1217,318,291,454,7732,716,0
428,49,465,328,337,913,0
-14,28,478,81,95,684,1
339,102,381,344,6094,594,0
303,112,865,688,1565,2652,0
89,-3,274,75,61,331,0
669,51,763,306,508,2039,0
1027,29,378,250,336,807,0
712,155,303,568,680,710,0
357,125,220,282,3946,424,0
928,213,911,246,5806,1059,0
992,202,437,120,5581,305,0
797,233,275,194,8248,447,0
217,7,372,138,2189,965,0
1491,600,367,749,7826,564,0
120,38,110,151,270,354,0
275,53,160,479,641,387,0
315,78,257,1026,15066,324,0
3610,548,471,341,6535,238,0
390,131,602,387,1832,634,1
952,391,316,437,13159,1225,0
271,90,400,305,583,705,0
1420,325,914,415,4657,1138,0
598,80,456,271,1860,968,0
1206,390,1638,225,11437,1105,0
1286,404,442,354,10873,681,0
71,45,470,640,32356,339,0
59,30,158,571,713,207,0
431,86,623,200,5328,1140,0
639,252,270,236,17168,321,0
533,157,851,421,4726,1206,0
724,211,145,441,12485,157,0
1542,286,503,286,2692,687,0
1547,450,608,275,14582,1007,0
904,167,832,163,3128,879,0
814,226,1604,306,8601,2981,0
313,81,998,263,838,1757,1
868,118,633,146,3430,381,0
1022,302,145,965,7209,280,0
886,357,320,639,26599,404,0
482,320,464,370,26819,241,0
952,334,256,211,13992,567,0
1013,718,288,334,29358,330,0
860,175,46,1269,1518,4485,0
1055,718,91,733,10623,231,0
1749,781,445,251,20018,395,0
1337,70,513,244,1168,1337,1
596,57,441,219,754,1492,0
21,14,79,105,203,142,0
400,27,696,216,1418,1084,0
390,68,255,549,686,625,0
375,86,142,974,1120,1021,0
575,58,321,270,1680,345,0
1473,316,442,274,5580,985,0
835,145,118,473,460,898,0
0,-9,632,118,124,620,0
186,86,205,417,466,351,0
1055,88,304,466,410,818,0
1933,534,189,981,12230,193,0
413,87,801,166,3410,979,0
166,57,292,251,186,891,0
1358,228,1007,97,4877,924,0
16,19,143,222,418,267,0
438,268,306,1017,27709,275,0
118,9,380,409,310,640,0
909,293,185,427,5883,230,0
358,280,267,568,16113,138,0
375,145,297,879,25991,348,0
1182,1261,504,1276,73914,324,0
1088,15,434,223,445,1991,0
50,8,178,117,161,361,1
1738,101,258,586,739,1557,0
1875,561,1025,332,11075,977,0
1907,571,393,1006,26997,1052,0
492,141,435,374,2541,694,0
1039,389,302,537,15087,268,0
371,136,347,700,18596,127,0
320,47,103,655,6052,173,0
549,208,621,251,7693,646,0
851,584,394,415,28414,224,0
501,143,148,318,14521,125,0
378,99,602,388,19794,648,0
424,105,680,493,5352,723,0
135,70,968,278,1762,1726,0
864,167,633,146,6915,1158,0
302,117,407,280,1463,636,0
769,245,1122,387,23080,698,0
259,15,137,626,871,446,0
685,568,271,747,43445,141,0
